,CellType,annotLevel,p,fold_change,sd_from_mean,q
EndoMural,EndoMural,1,0,1.60677611534244,10.7494694865598,0
OPC,OPC,1,0,1.31460195196096,6.25621567620109,0
Micro,Micro,1,0,1.31234928566012,5.36213324239262,0
Astro,Astro,1,0,1.28661852232279,5.27840619614651,0
Inhib,Inhib,1,1e-04,1.19846123141485,4.54239917066505,0.000216666666666667
Excit_L2_3,Excit_L2_3,1,1e-04,1.14821718620523,3.85011870867885,0.000216666666666667
Excit_L6,Excit_L6,1,0.0186,1.08293907931622,2.12840113661742,0.0345428571428571
Oligo,Oligo,1,0.0416,1.07358110823259,1.75623807158252,0.0676
Excit_L3,Excit_L3,1,0.1796,1.03382787692431,0.921621138508217,0.259422222222222
Excit_L5_6,Excit_L5_6,1,0.2521,1.02458229872541,0.653926351156454,0.32773
Excit_L5,Excit_L5,1,0.4416,1.00556010732767,0.150203712105046,0.521890909090909
Excit_L3_4_5,Excit_L3_4_5,1,0.6719,0.980369537995515,-0.453336159746615,0.727891666666667
Excit_L4,Excit_L4,1,0.8755,0.954279019384168,-1.15619282424021,0.8755
