source,Astro,EndoMural,Excit_L2/3,Excit_L3,Excit_L3/4/5,Excit_L4,Excit_L5,Excit_L5/6,Excit_L6,Inhib,Micro,OPC,Oligo
Astro,38,34,17,21,12,20,17,19,27,21,10,28,11
EndoMural,33,33,10,18,9,9,8,10,13,19,24,30,9
Excit_L2/3,13,15,3,5,0,3,7,6,7,6,1,11,4
Excit_L3,21,28,15,18,3,14,22,22,18,22,12,33,15
Excit_L3/4/5,21,18,7,9,2,11,9,12,10,9,8,21,8
Excit_L4,24,18,16,24,5,14,15,27,20,16,7,25,10
Excit_L5,12,15,0,2,0,2,1,2,3,5,5,13,6
Excit_L5/6,12,18,5,4,0,2,5,5,9,8,8,19,8
Excit_L6,13,14,3,3,0,2,5,6,5,5,7,11,3
Inhib,35,31,16,27,13,20,19,26,24,44,7,38,16
Micro,16,11,1,2,3,4,0,1,0,0,10,7,3
OPC,37,31,20,29,18,23,23,26,29,25,11,33,14
Oligo,26,22,7,8,4,7,5,9,7,6,7,20,6
